I0226 05:41:54.938494   14838 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0226 05:41:54.939491   14838 serve.go:44] Command line: ["/home/marty_jehng/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0226 05:41:54.942280   14838 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0226 05:41:55.079576   14838 configuration.go:182] product updateChannel will be used
W0226 05:41:55.079615   14838 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0226 05:41:55.079627   14838 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0226 05:41:55.079644   14838 configuration.go:642] language thresholds: map[]
I0226 05:41:55.079658   14838 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0226 05:41:55.079677   14838 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0012b4b51 StopSequences:map[] DataFilePromptLines:0}
I0226 05:41:55.079709   14838 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0012b4b61 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0226 05:41:55.079809   14838 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0226 05:41:55.079846   14838 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
